,gi,AccNum,Name,Topology,BaltimoreClass,Order,Family,Subfamily,Genera,Lineage
1,409191184,NC_018874.1,Abalone herpesvirus Victoria/AUS/2009,linear,1,Herpesvirales,,,," Viruses; dsDNA viruses, no RNA stage; Herpesvirales; unclassified Herpesvirales."
2,216906055,NC_011646.1,Abalone shriveling syndrome-associated virus,circular,1,,,,," Viruses; dsDNA viruses, no RNA stage; unclassified dsDNA viruses."
3,9626953,NC_001499.1,Abelson murine leukemia virus,linear,6,,Retroviridae,Orthoretrovirinae,Gammaretrovirus, Viruses; Retro-transcribing viruses; Retroviridae; Orthoretrovirinae; Gammaretrovirus; unclassified Gammaretrovirus.
4,311977355,NC_014649.1,Acanthamoeba polyphaga mimivirus,linear,1,,Mimiviridae,,Mimivirus," Viruses; dsDNA viruses, no RNA stage; Mimiviridae; Mimivirus."
5,119953744,NC_008724.1,Acanthocystis turfacea Chlorella virus 1,linear,1,,Phycodnaviridae,,Chlorovirus," Viruses; dsDNA viruses, no RNA stage; Phycodnaviridae; Chlorovirus."
6,441431932,NC_020099.1,Acartia tonsa copepod circovirus,circular,2,,Circoviridae,,Circovirus, Viruses; ssDNA viruses; Circoviridae; Circovirus; unclassified Circovirus.
7,23334625,NC_004290.1,Acheta domestica densovirus,linear,2,,Parvoviridae,Densovirinae,Ambidensovirus, Viruses; ssDNA viruses; Parvoviridae; Densovirinae; Ambidensovirus.
8,550455633,NC_022564.1,Acheta domesticus mini ambidensovirus,linear,2,,Parvoviridae,Densovirinae,, Viruses; ssDNA viruses; Parvoviridae; Densovirinae; unclassified Densovirinae.
9,481852725,NC_021074.1,Acheta domesticus volvovirus,circular,2,,,,, Viruses; ssDNA viruses; unclassified ssDNA viruses.
10,701219395,NC_025403.1,Achimota virus 1,linear,5,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Rubulavirus, Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Rubulavirus; unclassified Rubulavirus.
11,701219404,NC_025404.1,Achimota virus 2,linear,5,Mononegavirales,Paramyxoviridae,Paramyxovirinae,Rubulavirus, Viruses; ssRNA viruses; ssRNA negative-strand viruses; Mononegavirales; Paramyxoviridae; Paramyxovirinae; Rubulavirus; unclassified Rubulavirus.
12,9626510,NC_001447.1,Acholeplasma phage L2,circular,1,,Plasmaviridae,,Plasmavirus," Viruses; dsDNA viruses, no RNA stage; Plasmaviridae; Plasmavirus."
13,9625557,NC_001341.1,Acholeplasma phage MV-L1,circular,2,,Inoviridae,,Plectrovirus, Viruses; ssDNA viruses; Inoviridae; Plectrovirus; unclassified Plectrovirus.
14,589889317,NC_023556.1,Achromobacter phage JWAlpha,linear,1,Caudovirales,Podoviridae,,N4likevirus," Viruses; dsDNA viruses, no RNA stage; Caudovirales; Podoviridae; N4likevirus; unclassified N4likevirus."
15,146411811,NC_009452.1,Acidianus bottle-shaped virus,circular,1,,Ampullaviridae,,Ampullavirus," Viruses; dsDNA viruses, no RNA stage; Ampullaviridae; Ampullavirus."
16,45655866,NC_005830.1,Acidianus filamentous virus 1,linear,1,Ligamenvirales,Lipothrixviridae,,Gammalipothrixvirus," Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Gammalipothrixvirus."
17,157929273,NC_009884.1,Acidianus filamentous virus 2,linear,1,Ligamenvirales,Lipothrixviridae,,Deltalipothrixvirus," Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Deltalipothrixvirus."
18,162329288,NC_010155.1,Acidianus filamentous virus 3,linear,1,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus," Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus."
19,162329357,NC_010152.1,Acidianus filamentous virus 6,linear,1,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus," Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus."
20,162329424,NC_010153.1,Acidianus filamentous virus 7,linear,1,Ligamenvirales,Lipothrixviridae,,Betalipothrixvirus," Viruses; dsDNA viruses, no RNA stage; Ligamenvirales; Lipothrixviridae; Betalipothrixvirus."
